signal_id,source_type,category,text,timestamp,incident_group,hour,day_of_week,is_business_hours,source_weight,normalised_text,preprocessed_text
INC-0007-S0,log,Authentication Failure,WARN ldap-connector Authentication bind failed for user pool — retrying,2024-01-01 08:23:19.059069,INC-0007,8,0,True,0.6,ldap-connector authentication bind failed for user pool retrying,ldap-connector authentication bind failed user pool retrying
INC-0007-S2,ticket,Authentication Failure,Cannot access internal portal — getting 401 Unauthorized since this morning,2024-01-01 08:35:01.752175,INC-0007,8,0,True,0.8,cannot access internal portal getting NUMVAL unauthorized since this morning,not access internal portal getting NUMVAL unauthorized since morning
INC-0007-S1,alert,Authentication Failure,ALERT: auth_error_rate exceeded threshold — current value 2% up from baseline 97%,2024-01-01 08:37:52.588287,INC-0007,8,0,True,1.0,auth_error_rate exceeded threshold current value PCTVAL up from baseline PCTVAL,auth_error_rate exceeded threshold current value PCTVAL up baseline PCTVAL
INC-0021-S0,log,Deployment Failure,WARN rollout-controller Deployment 95 exceeded progress deadline 20m,2024-01-02 03:45:29.790130,INC-0021,3,1,False,0.6,rollout-controller deployment 95 exceeded progress deadline 20m,rollout-controller deployment 95 exceeded progress deadline 20m
INC-0021-S1,ticket,Deployment Failure,Config change pushed at 18:12 caused database connection failures,2024-01-02 03:50:25.833466,INC-0021,3,1,False,0.8,config change pushed at TIMEVAL caused database connection failures,config change pushed TIMEVAL caused database connection failure
INC-0021-S2,alert,Deployment Failure,CRITICAL: deployment pipeline 98 failed at stage 36 — rollback triggered,2024-01-02 03:56:13.050221,INC-0021,3,1,False,1.0,deployment pipeline 98 failed at stage 36 rollback triggered,deployment pipeline 98 failed stage 36 rollback triggered
INC-0031-S1,alert,Performance Degradation,ALERT: cpu_utilization at 41% on 90 nodes — autoscaling triggered. Additionally: All microservices returning 503 — suspected network partition in cluster,2024-01-02 13:32:57.480736,INC-0031,13,1,True,1.0,cpu_utilization at PCTVAL on 90 nodes autoscaling triggered additionally all microservices returning NUMVAL suspected network partition in cluster,cpu_utilization PCTVAL 90 node autoscaling triggered additionally microservices returning NUMVAL suspected network partition cluster
INC-0031-S2,log,Performance Degradation,ERROR jvm-monitor GC overhead limit exceeded — heap usage 31%,2024-01-02 13:49:16.243715,INC-0031,13,1,True,0.6,jvm-monitor gc overhead limit exceeded heap usage PCTVAL,jvm-monitor gc overhead limit exceeded heap usage PCTVAL
INC-0031-S0,ticket,Performance Degradation,Memory leak suspected — application slowing down every 5 minutes,2024-01-02 13:53:50.314166,INC-0031,13,1,True,0.8,memory leak suspected application slowing down every 5 minutes,memory leak suspected application slowing down every minute
INC-0041-S0,alert,Security Breach,WARNING: 9 API calls from unrecognised IP range in last 30 minutes,2024-01-03 03:18:41.422420,INC-0041,3,2,False,1.0,9 api calls from unrecognised ip range in last 30 minutes,api call unrecognised ip range last 30 minute
INC-0041-S1,ticket,Security Breach,Unexpected admin account created at 04:04 — security team please investigate. Additionally: WARN rollout-controller Deployment 99 exceeded progress deadline 15m,2024-01-03 03:25:56.668491,INC-0041,3,2,False,0.8,unexpected admin account created at TIMEVAL security team please investigate additionally warn rollout-controller deployment 99 exceeded progress deadline 15m,unexpected admin account created TIMEVAL security team please investigate additionally warn rollout-controller deployment 99 exceeded progress deadline 15m
INC-0041-S2,log,Security Breach,CRITICAL ids-system Port scan detected from external IP 94 at 22:25,2024-01-03 03:27:28.646584,INC-0041,3,2,False,0.6,ids-system port scan detected from external ip 94 at TIMEVAL,ids-system port scan detected external ip 94 TIMEVAL
INC-0038-S0,alert,Performance Degradation,CRITICAL: database_query_time_avg 21ms — 92x slower than baseline. Additionally: Cannot reach external services since 01:35 — complete outage for team,2024-01-04 00:30:01.877138,INC-0038,0,3,False,1.0,database_query_time_avg 21ms 92x slower than baseline additionally cannot reach external services since TIMEVAL complete outage for team,database_query_time_avg 21ms 92x slower baseline additionally not reach external service since TIMEVAL complete outage team
INC-0038-S1,ticket,Performance Degradation,API response times unacceptable — 42ms average reported by users since 15:06,2024-01-04 00:37:04.768500,INC-0038,0,3,False,0.8,api response times unacceptable 42ms average reported by users since TIMEVAL,api response time unacceptable 42ms average reported user since TIMEVAL
INC-0038-S2,log,Performance Degradation,CRITICAL thread-pool 32 threads blocked — deadlock suspected at 14:21. Additionally: SSO login broken for 9 users — IT please investigate urgently,2024-01-04 00:43:16.845639,INC-0038,0,3,False,0.6,thread-pool 32 threads blocked deadlock suspected at TIMEVAL additionally sso login broken for 9 users it please investigate urgently,thread-pool 32 thread blocked deadlock suspected TIMEVAL additionally sso login broken user please investigate urgently
INC-0015-S0,log,Network Outage,ERROR dns-resolver NXDOMAIN for internal service mesh — 5 retries failed. Additionally: ALERT: token_validation_failures spiked to 34 per minute — normal is 93,2024-01-04 22:20:34.307896,INC-0015,22,3,False,0.6,dns-resolver nxdomain for internal service mesh 5 retries failed additionally alert token_validation_failures spiked to 34 per minute normal is 93,dns-resolver nxdomain internal service mesh retries failed additionally alert token_validation_failures spiked 34 per minute normal 93
INC-0015-S1,ticket,Network Outage,API calls to external partners timing out — network issue suspected since 02:56,2024-01-04 22:21:03.988361,INC-0015,22,3,False,0.8,api calls to external partners timing out network issue suspected since TIMEVAL,api call external partner timing network issue suspected since TIMEVAL
INC-0015-S2,alert,Network Outage,WARNING: BGP session dropped with peer 98 — rerouting traffic,2024-01-04 22:29:14.023923,INC-0015,22,3,False,1.0,bgp session dropped with peer 98 rerouting traffic,bgp session dropped peer 98 rerouting traffic
INC-0028-S2,log,Deployment Failure,ERROR kubernetes PodInitializing timeout after 30m — CrashLoopBackOff,2024-01-05 03:37:54.411575,INC-0028,3,4,False,0.6,kubernetes podinitializing timeout after 30m crashloopbackoff,kubernetes podinitializing timeout 30m crashloopbackoff
INC-0028-S0,alert,Deployment Failure,CRITICAL: kubernetes rollout failed — 15 pods in CrashLoopBackOff. Additionally: Possible data exfiltration — large upload to external endpoint at 14:26,2024-01-05 03:39:18.966016,INC-0028,3,4,False,1.0,kubernetes rollout failed 15 pods in crashloopbackoff additionally possible data exfiltration large upload to external endpoint at TIMEVAL,kubernetes rollout failed 15 pod crashloopbackoff additionally possible data exfiltration large upload external endpoint TIMEVAL
INC-0028-S1,ticket,Deployment Failure,Config change pushed at 12:57 caused database connection failures,2024-01-05 04:01:24.660500,INC-0028,4,4,False,0.8,config change pushed at TIMEVAL caused database connection failures,config change pushed TIMEVAL caused database connection failure
INC-0034-S2,log,Performance Degradation,ERROR memory-manager OutOfMemoryError: Java heap space after 20 minutes,2024-01-05 14:21:34.518206,INC-0034,14,4,True,0.6,memory-manager outofmemoryerror java heap space after 20 minutes,memory-manager outofmemoryerror java heap space 20 minute
INC-0034-S1,ticket,Performance Degradation,Application extremely slow since 14:15 — pages taking 19 seconds to load,2024-01-05 14:23:27.832918,INC-0034,14,4,True,0.8,application extremely slow since TIMEVAL pages taking 19 seconds to load,application extremely slow since TIMEVAL page taking 19 second load
INC-0034-S0,alert,Performance Degradation,WARNING: memory_usage 39% — approaching OOM threshold on 96 pods,2024-01-05 14:30:30.628191,INC-0034,14,4,True,1.0,memory_usage PCTVAL approaching oom threshold on 96 pods,memory_usage PCTVAL approaching oom threshold 96 pod
INC-0049-S2,alert,Security Breach,WARNING: 36 API calls from unrecognised IP range in last 5 minutes,2024-01-05 15:14:16.434421,INC-0049,15,4,True,1.0,36 api calls from unrecognised ip range in last 5 minutes,36 api call unrecognised ip range last minute
INC-0049-S1,log,Security Breach,WARN data-monitor Anomalous export: 36MB from sensitive table in 20m,2024-01-05 15:24:04.477825,INC-0049,15,4,True,0.6,data-monitor anomalous export 36mb from sensitive table in 20m,data-monitor anomalous export 36mb sensitive table 20m
INC-0049-S0,ticket,Security Breach,Possible data exfiltration — large upload to external endpoint at 22:25,2024-01-05 15:29:41.926995,INC-0049,15,4,True,0.8,possible data exfiltration large upload to external endpoint at TIMEVAL,possible data exfiltration large upload external endpoint TIMEVAL
INC-0032-S1,alert,Performance Degradation,ALERT: throughput dropped from 96 to 27 requests/sec — capacity issue,2024-01-06 00:53:26.954275,INC-0032,0,5,False,1.0,throughput dropped from 96 to 27 requests/sec capacity issue,throughput dropped 96 27 requests/sec capacity issue
INC-0032-S2,ticket,Performance Degradation,System unusable during peak hours — 42 second response times,2024-01-06 01:05:55.249113,INC-0032,1,5,False,0.8,system unusable during peak hours 42 second response times,system unusable peak hour 42 second response time
INC-0032-S0,log,Performance Degradation,WARN connection-pool All 91 connections in use — requests queuing,2024-01-06 01:11:42.790362,INC-0032,1,5,False,0.6,connection-pool all 91 connections in use requests queuing,connection-pool 91 connection use request queuing
INC-0012-S1,alert,Network Outage,CRITICAL: packet_loss_rate 37% on core router — threshold is 97%. Additionally: ALERT: auth_error_rate exceeded threshold — current value 28% up from baseline 92%,2024-01-06 17:09:09.952367,INC-0012,17,5,False,1.0,packet_loss_rate PCTVAL on core router threshold is PCTVAL additionally alert auth_error_rate exceeded threshold current value PCTVAL up from baseline PCTVAL,packet_loss_rate PCTVAL core router threshold PCTVAL additionally alert auth_error_rate exceeded threshold current value PCTVAL up baseline PCTVAL
INC-0012-S0,ticket,Network Outage,Internet connectivity down in office building 94 — no network access,2024-01-06 17:18:53.219610,INC-0012,17,5,False,0.8,internet connectivity down in office building 94 no network access,internet connectivity down office building 94 no network access
INC-0012-S2,log,Network Outage,WARN load-balancer upstream 5 of 96 nodes marked unhealthy. Additionally: Cannot access internal portal — getting 401 Unauthorized since this morning,2024-01-06 17:20:11.267789,INC-0012,17,5,False,0.6,load-balancer upstream 5 of 96 nodes marked unhealthy additionally cannot access internal portal getting NUMVAL unauthorized since this morning,load-balancer upstream 96 node marked unhealthy additionally not access internal portal getting NUMVAL unauthorized since morning
INC-0023-S2,alert,Deployment Failure,ALERT: container startup failures 43 in last 15 minutes after push,2024-01-06 18:18:32.760729,INC-0023,18,5,False,1.0,container startup failures 43 in last 15 minutes after push,container startup failure 43 last 15 minute push
INC-0023-S0,log,Deployment Failure,ERROR config-loader Failed to parse configuration: invalid YAML at line 38,2024-01-06 18:21:11.426850,INC-0023,18,5,False,0.6,config-loader failed to parse configuration invalid yaml at line 38,config-loader failed parse configuration invalid yaml line 38
INC-0023-S1,ticket,Deployment Failure,Production deployment at 09:18 caused service outage — need rollback,2024-01-06 18:27:08.159271,INC-0023,18,5,False,0.8,production deployment at TIMEVAL caused service outage need rollback,production deployment TIMEVAL caused service outage need rollback
INC-0020-S1,log,Network Outage,ERROR tcp-handler Connection reset by peer — 23 retries exhausted,2024-01-06 19:06:05.423973,INC-0020,19,5,False,0.6,tcp-handler connection reset by peer 23 retries exhausted,tcp-handler connection reset peer 23 retries exhausted
INC-0020-S0,ticket,Network Outage,API calls to external partners timing out — network issue suspected since 11:41,2024-01-06 19:20:11.688523,INC-0020,19,5,False,0.8,api calls to external partners timing out network issue suspected since TIMEVAL,api call external partner timing network issue suspected since TIMEVAL
INC-0020-S2,alert,Network Outage,CRITICAL: 13 downstream services unreachable — network partition detected,2024-01-06 19:27:47.737204,INC-0020,19,5,False,1.0,13 downstream services unreachable network partition detected,13 downstream service unreachable network partition detected
INC-0024-S1,alert,Deployment Failure,ALERT: error_rate spiked to 16% immediately after release v94,2024-01-07 09:55:35.062307,INC-0024,9,6,False,1.0,error_rate spiked to PCTVAL immediately after release VERVAL,error_rate spiked PCTVAL immediately release VERVAL
INC-0024-S0,ticket,Deployment Failure,Deployment to prod failed — application not starting after update at 16:42,2024-01-07 10:00:16.813747,INC-0024,10,6,False,0.8,deployment to prod failed application not starting after update at TIMEVAL,deployment prod failed application not starting update TIMEVAL
INC-0024-S2,log,Deployment Failure,ERROR kubernetes PodInitializing timeout after 10m — CrashLoopBackOff,2024-01-07 10:07:10.942324,INC-0024,10,6,False,0.6,kubernetes podinitializing timeout after 10m crashloopbackoff,kubernetes podinitializing timeout 10m crashloopbackoff
INC-0017-S1,log,Network Outage,ERROR tcp-handler Connection reset by peer — 29 retries exhausted,2024-01-08 12:51:14.096186,INC-0017,12,0,True,0.6,tcp-handler connection reset by peer 29 retries exhausted,tcp-handler connection reset peer 29 retries exhausted
INC-0017-S2,ticket,Network Outage,All microservices returning 503 — suspected network partition in cluster,2024-01-08 13:02:04.670799,INC-0017,13,0,True,0.8,all microservices returning NUMVAL suspected network partition in cluster,microservices returning NUMVAL suspected network partition cluster
INC-0017-S0,alert,Network Outage,CRITICAL: 4 downstream services unreachable — network partition detected. Additionally: ERROR helm-deploy Release 92 failed: timed out waiting for condition,2024-01-08 13:06:58.131728,INC-0017,13,0,True,1.0,4 downstream services unreachable network partition detected additionally error helm-deploy release 92 failed timed out waiting for condition,downstream service unreachable network partition detected additionally error helm-deploy release 92 failed timed waiting condition
INC-0002-S2,ticket,Authentication Failure,Password reset not working — users locked out of system since 03:59,2024-01-09 08:31:38.376681,INC-0002,8,1,True,0.8,password reset not working users locked out of system since TIMEVAL,password reset not working user locked system since TIMEVAL
INC-0002-S1,log,Authentication Failure,ERROR AuthService TokenValidationException: JWT signature invalid at 02:24. Additionally: WARN connection-pool All 90 connections in use — requests queuing,2024-01-09 08:36:04.913414,INC-0002,8,1,True,0.6,authservice tokenvalidationexception jwt signature invalid at TIMEVAL additionally warn connection-pool all 90 connections in use requests queuing,authservice tokenvalidationexception jwt signature invalid TIMEVAL additionally warn connection-pool 90 connection use request queuing
INC-0002-S0,alert,Authentication Failure,WARNING: 19 failed authentication attempts detected in 10 minute window,2024-01-09 08:36:55.556928,INC-0002,8,1,True,1.0,19 failed authentication attempts detected in 10 minute window,19 failed authentication attempt detected 10 minute window
INC-0033-S0,log,Performance Degradation,WARN connection-pool All 98 connections in use — requests queuing,2024-01-10 01:17:38.177098,INC-0033,1,2,False,0.6,connection-pool all 98 connections in use requests queuing,connection-pool 98 connection use request queuing
INC-0033-S2,ticket,Performance Degradation,Application extremely slow since 11:40 — pages taking 29 seconds to load,2024-01-10 01:19:51.929805,INC-0033,1,2,False,0.8,application extremely slow since TIMEVAL pages taking 29 seconds to load,application extremely slow since TIMEVAL page taking 29 second load
INC-0033-S1,alert,Performance Degradation,ALERT: throughput dropped from 95 to 2 requests/sec — capacity issue,2024-01-10 01:28:55.817161,INC-0033,1,2,False,1.0,throughput dropped from 95 to 2 requests/sec capacity issue,throughput dropped 95 requests/sec capacity issue
INC-0035-S2,log,Performance Degradation,ERROR jvm-monitor GC overhead limit exceeded — heap usage 7%,2024-01-10 18:10:46.365355,INC-0035,18,2,False,0.6,jvm-monitor gc overhead limit exceeded heap usage PCTVAL,jvm-monitor gc overhead limit exceeded heap usage PCTVAL
INC-0035-S1,alert,Performance Degradation,CRITICAL: cache_hit_rate dropped to 19% — database under heavy load,2024-01-10 18:13:31.664046,INC-0035,18,2,False,1.0,cache_hit_rate dropped to PCTVAL database under heavy load,cache_hit_rate dropped PCTVAL database heavy load
INC-0035-S0,ticket,Performance Degradation,Dashboard loading very slowly — timeout errors appearing for heavy reports,2024-01-10 18:22:37.203138,INC-0035,18,2,False,0.8,dashboard loading very slowly timeout errors appearing for heavy reports,dashboard loading slowly timeout error appearing heavy report
INC-0029-S0,ticket,Deployment Failure,Config change pushed at 07:17 caused database connection failures,2024-01-11 13:16:42.353755,INC-0029,13,3,True,0.8,config change pushed at TIMEVAL caused database connection failures,config change pushed TIMEVAL caused database connection failure
INC-0029-S2,alert,Deployment Failure,ALERT: error_rate spiked to 36% immediately after release v99. Additionally: ERROR access-control Unauthorised access to /api/admin/users — blocked at 21:01,2024-01-11 13:18:04.737718,INC-0029,13,3,True,1.0,error_rate spiked to PCTVAL immediately after release VERVAL additionally error access-control unauthorised access to /api/admin/users blocked at TIMEVAL,error_rate spiked PCTVAL immediately release VERVAL additionally error access-control unauthorised access /api/admin/users blocked TIMEVAL
INC-0037-S2,alert,Performance Degradation,CRITICAL: cache_hit_rate dropped to 13% — database under heavy load. Additionally: Security scanner flagged 39 critical vulnerabilities in production at 16:38,2024-01-11 13:25:17.385631,INC-0037,13,3,True,1.0,cache_hit_rate dropped to PCTVAL database under heavy load additionally security scanner flagged 39 critical vulnerabilities in production at TIMEVAL,cache_hit_rate dropped PCTVAL database heavy load additionally security scanner flagged 39 critical vulnerability production TIMEVAL
INC-0037-S0,ticket,Performance Degradation,Dashboard loading very slowly — timeout errors appearing for heavy reports,2024-01-11 13:36:14.814073,INC-0037,13,3,True,0.8,dashboard loading very slowly timeout errors appearing for heavy reports,dashboard loading slowly timeout error appearing heavy report
INC-0029-S1,log,Deployment Failure,ERROR helm-deploy Release 96 failed: timed out waiting for condition,2024-01-11 13:36:59.575020,INC-0029,13,3,True,0.6,helm-deploy release 96 failed timed out waiting for condition,helm-deploy release 96 failed timed waiting condition
INC-0037-S1,log,Performance Degradation,WARN connection-pool All 91 connections in use — requests queuing,2024-01-11 13:41:59.203917,INC-0037,13,3,True,0.6,connection-pool all 91 connections in use requests queuing,connection-pool 91 connection use request queuing
INC-0039-S2,ticket,Performance Degradation,Database queries taking 39 seconds — was 94 seconds yesterday,2024-01-13 00:38:11.760683,INC-0039,0,5,False,0.8,database queries taking 39 seconds was 94 seconds yesterday,database query taking 39 second 94 second yesterday
INC-0039-S1,log,Performance Degradation,WARN cache-manager Redis response time 16ms — cache performance degraded,2024-01-13 00:40:04.257356,INC-0039,0,5,False,0.6,cache-manager redis response time 16ms cache performance degraded,cache-manager redis response time 16ms cache performance degraded
INC-0039-S0,alert,Performance Degradation,ALERT: cpu_utilization at 21% on 99 nodes — autoscaling triggered. Additionally: CRITICAL: datacenter east-96 connectivity lost — failover initiated,2024-01-13 00:45:43.166794,INC-0039,0,5,False,1.0,cpu_utilization at PCTVAL on 99 nodes autoscaling triggered additionally critical datacenter east-96 connectivity lost failover initiated,cpu_utilization PCTVAL 99 node autoscaling triggered additionally critical datacenter east-96 connectivity lost failover initiated
INC-0030-S0,ticket,Deployment Failure,Deployment to prod failed — application not starting after update at 12:20,2024-01-13 20:44:14.567669,INC-0030,20,5,False,0.8,deployment to prod failed application not starting after update at TIMEVAL,deployment prod failed application not starting update TIMEVAL
INC-0030-S2,log,Deployment Failure,ERROR helm-deploy Release 91 failed: timed out waiting for condition,2024-01-13 20:54:47.835354,INC-0030,20,5,False,0.6,helm-deploy release 91 failed timed out waiting for condition,helm-deploy release 91 failed timed waiting condition
INC-0030-S1,alert,Deployment Failure,CRITICAL: canary deployment showing 19% error rate — halting rollout,2024-01-13 20:56:52.185390,INC-0030,20,5,False,1.0,canary deployment showing PCTVAL error rate halting rollout,canary deployment showing PCTVAL error rate halting rollout
INC-0045-S0,log,Security Breach,CRITICAL security-monitor Brute force: 17 auth failures from 99 in 10m,2024-01-14 03:26:57.430125,INC-0045,3,6,False,0.6,security-monitor brute force 17 auth failures from 99 in 10m,security-monitor brute force 17 auth failure 99 10m
INC-0045-S2,alert,Security Breach,WARNING: 9 API calls from unrecognised IP range in last 10 minutes,2024-01-14 03:44:31.823417,INC-0045,3,6,False,1.0,9 api calls from unrecognised ip range in last 10 minutes,api call unrecognised ip range last 10 minute
INC-0045-S1,ticket,Security Breach,Unusual file access pattern detected — 7 sensitive files accessed in 10m,2024-01-14 03:49:26.313246,INC-0045,3,6,False,0.8,unusual file access pattern detected 7 sensitive files accessed in 10m,unusual file access pattern detected sensitive file accessed 10m
INC-0042-S0,alert,Security Breach,ALERT: SQL injection pattern detected in 22 requests — WAF blocking,2024-01-15 19:32:36.005881,INC-0042,19,0,False,1.0,sql injection pattern detected in 22 requests waf blocking,sql injection pattern detected 22 request waf blocking
INC-0042-S2,ticket,Security Breach,Suspicious login from foreign IP at 21:52 — account may be compromised,2024-01-15 19:32:57.556052,INC-0042,19,0,False,0.8,suspicious login from foreign ip at TIMEVAL account may be compromised,suspicious login foreign ip TIMEVAL account may compromised
INC-0042-S1,log,Security Breach,ERROR waf-handler SQL injection blocked: malicious payload in request at 21:53,2024-01-15 19:46:37.892940,INC-0042,19,0,False,0.6,waf-handler sql injection blocked malicious payload in request at TIMEVAL,waf-handler sql injection blocked malicious payload request TIMEVAL
INC-0008-S1,ticket,Authentication Failure,Password reset not working — users locked out of system since 00:38,2024-01-16 05:32:20.115688,INC-0008,5,1,False,0.8,password reset not working users locked out of system since TIMEVAL,password reset not working user locked system since TIMEVAL
INC-0008-S0,alert,Authentication Failure,ALERT: auth_error_rate exceeded threshold — current value 12% up from baseline 95%,2024-01-16 05:51:18.840292,INC-0008,5,1,False,1.0,auth_error_rate exceeded threshold current value PCTVAL up from baseline PCTVAL,auth_error_rate exceeded threshold current value PCTVAL up baseline PCTVAL
INC-0008-S2,log,Authentication Failure,ERROR sso-service Connection refused to identity-provider at 09:15. Additionally: ALERT: DNS resolution failures 33% — external connectivity degraded,2024-01-16 05:52:14.935454,INC-0008,5,1,False,0.6,sso-service connection refused to identity-provider at TIMEVAL additionally alert dns resolution failures PCTVAL external connectivity degraded,sso-service connection refused identity-provider TIMEVAL additionally alert dns resolution failure PCTVAL external connectivity degraded
INC-0046-S0,ticket,Security Breach,Unusual file access pattern detected — 17 sensitive files accessed in 20m,2024-01-16 06:32:51.642080,INC-0046,6,1,False,0.8,unusual file access pattern detected 17 sensitive files accessed in 20m,unusual file access pattern detected 17 sensitive file accessed 20m
